Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,Design,In-Progress,12/11/2017,3/20/2018,,110000,110000,0,DSF: 0000798176
10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,Construction,PNS,PNS,PNS,PNS,1165000,1165000,0,DSF: 0000798176
10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,"CM, F&E",PNS,PNS,PNS,PNS,270000,270000,116,DSF: 0000798176
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Scope,Complete,6/1/2012,10/17/2012,10/19/2012,110940,103978,103978,DSF: 0000753048
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Design,Complete,3/27/2013,9/26/2013,11/8/2013,388290,329925,316570,DSF: 0000753048
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Construction,Complete,4/7/2014,1/26/2016,1/30/2017,6295845,6201593,5989027,DSF: 0000753048
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,"CM, F&E",Complete,4/7/2014,1/26/2016,1/30/2017,551018,595580,594538,DSF: 0000753048
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Scope,Complete,8/19/2014,1/7/2015,7/27/2015,166366,225758,206813,"DSF: 0000797229, 0000820383, 0000820385, 0000820386"
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Design,Complete,10/7/2015,3/14/2016,7/5/2016,659453,627318,350802,"DSF: 0000797229, 0000820383, 0000820385, 0000820386"
2,M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,4500,4500,0,DSF: 0000866424
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Construction,In-Progress,8/7/2017,8/6/2019,,11825294,10697123,38572,"DSF: 0000797229, 0000820383, 0000820385, 0000820386"
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,"CM, F&E",In-Progress,8/7/2017,8/6/2019,,854515,54475,54475,"DSF: 0000797229, 0000820383, 0000820385, 0000820386"
2,M660,SCHOOL OF THE FUTURE - MANHATT,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/1/2017,1/15/2018,7/6/2017,70000,69473,69473,DSF: 0000845312
2,M660,SCHOOL OF THE FUTURE - MANHATT,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,9/6/2017,DOES,,DOES,170000,2226,DSF: 0000866013
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Scope,Complete,7/22/2008,9/8/2008,9/16/2008,15000,34136,33979,DSF: 0000622222
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Design,Complete,9/16/2008,10/30/2008,9/16/2008,55000,171391,146190,DSF: 0000622222
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Construction,PNS,PNS,PNS,PNS,582500,582500,0,DSF: 0000622222
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,"CM, F&E",PNS,PNS,PNS,PNS,135000,135000,3259,DSF: 0000622222
2,M661,MNHT COMPR. NIGHT & DAY HS - M,SCA IEH,IEH PO18-BASEMENT IT OFFICE AND SERVER ROOM,Construction,Complete,8/9/2017,IEH,12/23/2017,IEH,20623,1526,DSF: 0000048048
2,M807,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,FY15 RESO A SECURITY CAMERAS,Scope,Complete,1/13/2017,5/15/2017,2/8/2017,0,3174,3174,DSF: 0000800742
2,M807,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,FY15 RESO A SECURITY CAMERAS,Design,Complete,2/8/2017,8/8/2017,4/12/2017,13360,12760,12760,DSF: 0000800742
2,M807,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,FY15 RESO A SECURITY CAMERAS,Construction,In-Progress,6/28/2017,4/23/2018,,195941,127685,3944,DSF: 0000800742
2,M807,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,FY15 RESO A SECURITY CAMERAS,"CM, F&E",In-Progress,6/28/2017,4/23/2018,,90128,99337,11260,DSF: 0000800742
2,M807,HARVEY MILK SCHOOL - MANHATTAN,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYS,Purch & Install,Complete,6/24/2013,12/31/2013,9/30/2017,DIIX,164632,164632,DSF: 0000776339
2,M824,MILLENNIUM HS - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866404
2,M824,MILLENNIUM HS - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Design,PNS,PNS,PNS,PNS,21000,21000,0,DSF: 0000866404
2,M824,MILLENNIUM HS - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Construction,PNS,PNS,PNS,PNS,308000,308000,0,DSF: 0000866404
